ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer
Michael Faraday,Did Albert Einstein keep a photograph of Faraday on his study wall?,"Yes, Albert Einstein kept a photograph of Faraday on his study wall.",easy,easy
Butterfly,Do butterflies make sounds?,Some butterflies make sounds.,easy,medium
Chinese language,What is the most common romanization standard for Standard Mandarin today?,Hanyu Pinyin,medium,medium
San Francisco,Is the standard of living in San Franciscio high?,"Yes, San Francisco is characterized by a high standard of living.",easy,easy
Finnish language,Is Finnish an official language of the European Union?,"Yes, Finnish is an official language of the European Union.",easy,easy
Ant,Where are bullet ants located?,Bullet ants are located in Central and South America.,medium,medium
Butterfly,Where was there a vast swarm of butterflies?,In Kyoto there was a vast swarm of butterflies.,medium,medium
Kuala Lumpur,What airports does Kuala Lumpur have?,Kuala Lumpur International Airport and Subang International Airport,medium,medium
Malay language,What family is Malay a member of?,Austronesian family,medium,medium
James Watt,When did Watt retire?,Watt retired in 1800.,medium,medium
Alessandro Volta,Was Alessandro Volta a professor of chemistry?,Alessandro Volta was not a professor of chemistry.,easy,easy
Montreal,Is the most popular sport in Montreal ice hockey?,"yes, The most popular sport in Montreal is ice hockey.",easy,easy
Ant,Do worker ants have wings?,"No, worker ants do not have wings.",easy,easy
Michael Faraday,Who discovered benzene?,Michael Faraday discovered benzene.,medium,medium
Isaac Newton,Was Isaac Newton religious?,"Yes, he was highly religious, though an unorthodox Christian.",easy,easy
Turkish language,What exception to the rules of vowel harmony do compound words have?,"In compound words, the vowels need not harmonize between the constituent words of the compound.",medium,easy
Swahili language,What is the Swahili word for the Swahili language?,Kiswahili is the Swahili word for the Swahili language.,medium,medium
Isaac Newton,Did Isaac Newton die in 1898?,"No, Newton died in his sleep in London on 31 March 1727.",easy,easy
Isaac Newton,Where was Isaac Newton born?,At Woolsthorpe Manor in Woosthorpe-by-Colsterworth.,medium,medium
Trumpet,What is a trumpet constructed of?,brass tubing,medium,medium
Cougar,Is a cougar also known as a mountain lion?,A cougar is also known as a mountain lion.,easy,easy
Ant,How do most ants travel?,most ants travel by walking,medium,medium
Butterfly,What is the outer layer of the cuticle made of?,The outer layer of the cuticle is made of of a mixture of chitin and specialized proteins.,medium,easy
Nairobi,What is the current estimated population of Nairobi?,About 3 million,medium,medium
Amedeo Avogadro,Is Avogadro's number used to compute the results of chemical reactions?,"Yes, Avagadro's number is used to compute the results of chemical reactions.",easy,easy
Kuala Lumpur,when did kuala lumpur become a federal territory of malaysia?,"February 1, 1974",medium,medium
Giant Panda,What family is the panda a part of?,Ursidae (bear),medium,medium
Turkish language,When was the Turkish Language Association founded?,The Turkish Language Association was founded in 1932.,medium,medium
Cougar,What are some of the cougar's primary food sources?,"The cougar's primary food sources include ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses and sheep, particularly in the northern part of its range.",medium,easy
Xylophone,The xylophone is an instrument from what family?,the percussion family,medium,medium
Vietnamese language,When was the reunification of Vietnam?,The reunification of Vietnam occurred in 1975-76.,medium,easy
James Watt,Where is the James Watt Memorial College?,In Greenock.,medium,medium
Flute,What is the earliest extant transverse flute?,it dates from 433 BC,easy,medium
Amedeo Avogadro,Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van Hoff,medium,medium
James Watt,Did James Watt improve an engine?,"Yes, his improvements to the Newcomen steam engine were fundamental to the changes brought by the Industrial Revolution.",easy,easy
Korean language,How many parts of speech does the Korean language contain?,The Korean Language contains nine parts of speech. ,easy,too easy
Jakarta,How is the climate in the city?,Jakarta has a hot and humid equatorial/tropical climate ,medium,medium
Henri Becquerel,What is the SI unit for radioactivity called?,the becquerel (Bq),medium,medium
Octopus,Around how many recognized octopus species are there?,There are around 300 recognized octopus species.,medium,medium
Swedish language,How many Swedish speakers were reported in Canada in 2001?,"There are 16,915 reported Swedish speakers in Canada.",medium,medium
Michael Faraday,who was his mentor?,John 'Mad Jack' Fuller,medium,medium
Charles-Augustin de Coulomb,Was the SI unit of charge named after Charles-Augustin de Coulomb?,"Yes, the SI unit of charge, the coulomb, was named after him.",easy,easy
Michael Faraday,Where was Michael Faraday born?,Michael Faraday was born in Newington Butts.,medium,medium
Nikola Tesla,Was Nikola Tesla close friends with Mark Twain?,Nikola Tesla was close friends with Mark Twain.,easy,medium
Montreal,How many international airports does Montreal have?,Montreal has two international airports.,medium,easy
Finnish language,Where is the Kven language spoken?,The Kven language is spoken in Northern Norway.,medium,medium
Nikola Tesla,Where did Nikola Tesla move to in 1880?,"In 1880, Nikola Tesla moved to Budapest.",medium,easy
Swahili language,Does Swahili have dipthongs?,"Yes, Swahili has diphthongs. (Typo)",easy,easy
Butterfly,What butterfly is migratory?,The Monarch butterfly is migratory.,medium,easy
Cougar,How long are cougar adult males (from nose to tail)?,The length of adult males is around 2.4 meters (8 ft) long nose to tail.,medium,medium
